Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Hindi,Armaan Kohli_932,Actor,Male,Middle,,14.0,13.0,No,Salman Khan,Colors,,4.4,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,6,1.0,0.0,0.0,0.0,,,,,,0.0,0
Telugu,Nikhil Maliyakkal_588,Soap Actor,Male,Middle,,,2.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,15.9,"Telangana, Andhra Pradesh",Hyderabad,No,9,3.0,,,,,,,,9.0,1.0,1
Marathi,Megha Ghadge_998,Actress,Female,Middle,,3.0,13.0,No,Mahesh Manjrekar,Colors Marathi,Voot,,Maharashtra,Mumbai,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Telugu,Kumar Sai_434,Comedian,Male,Middle,18-Oct-20,6.0,17.0,Yes,Nagarjuna,Star Maa,Disney+ Hotstar,20.1,"Telangana, Andhra Pradesh",Hyderabad,No,4,1.0,0.0,0.0,0.0,,,,,6.0,0.0,0
Kannada,Chandana Ananthakrishna_43,Actress,Female,Young,5-Jan-20,12.0,,No,Sudeep,Colors Kannada,Voot,,Karnataka,Bengaluru,No,4,1.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Shefali Bagga_513,News Presenter,Female,Young,,14.0,10.0,No,Salman Khan,Colors,,9.06,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,5,0.0,1.0,0.0,0.0,,,,,,0.0,0
Kannada,Uday Surya_308,Soap Actor,Male,Middle,27-Aug-22,3.0,16.0,No,Sudeep,,Voot,,Karnataka,Bengaluru,Yes,2,0.0,0.0,0.0,0.0,,,,,,,0
Telugu,Ashu Reddy_781,Social Media Star,Female,Young,25-Aug-19,5.0,3.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,18.1,"Telangana, Andhra Pradesh",Hyderabad,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Tamil,Thamarai Selvi_610,Folk Artist,Female,Middle,,14.0,15.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,17.9,Tamil Nadu,Chennai,No,9,2.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Tanisha Kuppanda_907,Soap Actress,Female,Middle,,15.0,8.0,No,Sudeep,Colors Kannada,JioCinema,,Karnataka,Bengaluru,No,12,1.0,1.0,1.0,,,,,,,0.0,0
Kannada,Arjun Ramesh_919,Soap Actor,Male,Middle,19-Aug-22,2.0,6.0,No,Sudeep,,Voot,,Karnataka,Bengaluru,Yes,1,1.0,0.0,1.0,0.0,,,,,,,0
Telugu,Kathi Karthika_966,TV Anchor,Female,Middle,27-Aug-17,6.0,10.0,No,Jr. NTR,Star Maa,,15.0,"Telangana, Andhra Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
